city_name,density_city_2007,trade_ratio_city_2007,trade_ratio_city_2010,N_2017,Unemploy_2017,N_2007,Unemploy_2007,density_city_2010,trade_ratio_city_2014,density_city_2014,trade_ratio_city_2017,density_city_2017,chr_dummy,year_chr,trade_accessible_dummy,category
Hulun Buir,10.66,0.625034014,0.55465472,259,3.1858,269.96,2.5055,10.73,0.52924281,10.02,0.52580899,10.246185,0,,0,4
Huzhou,443.26001,0.602765321,0.64094257,265,1.5906,257.89,1.2344,445.45999,0.66078836,450.70001,0.65086597,455.32645,0,,0,4
Jiamusi,75.889999,0.46058227,0.50934744,238,0,248.19,2.0734,77.129997,0.40923914,74.019997,0.35321286,72.773972,0,,0,4
Jian,188.99001,0.335793358,0.25625625,535,2.0115,471.01,2.224,193.53999,0.50612247,201.37,0.50532341,210.85406,0,,0,4
Jiangmen,405.97,0.579909886,0.58681476,394,6.2523,387.34,6.1814,411.95999,0.63176471,413.47,0.60218018,414.3443,0,,0,4
Jiaozuo,872.34003,0.549675023,0.53460056,374,3.0621,355.13,2.588,896.23999,0.57327938,903.44,0.59472996,918.69318,0,,0,4
Jiaxing,857.09003,0.73806752,0.7024076,352,2.6696,335.55,2.6512,867.42999,0.66566414,883.59998,0.64823246,833.53064,1,2010,0,3
Jiayuguan,60,0.783529412,0.74392939,21,0.2845,17.61,0.3011,71.110001,0.07181818,68.25,0.6380865,71.550255,1,2014,0,4
Jieyang,1190.74,0.324681685,0.32647198,697,0.8968,623.95,0,1238.76,0.56317133,1296.39,0.5833168,1323.8367,1,2013,0,4
Jilin,158.72,0.483590463,0.47990328,422,2.9921,430.44,1.9551,161.25,0.49796841,157.73,0.46433449,152.2861,0,,0,4
Jinan,737.85999,0.488741853,0.45829952,633,3.3548,603.35,5.8007,737.76001,0.48379472,749.96997,0.42503768,791.44788,1,2011,0,3
Jinchang,52.639999,0.742675159,0.72259814,46,0.4979,46.83,0.523,53.470001,0.76186442,52.68,0.6879245,51.708633,0,,0,4
Jincheng,235.06,0.53957729,0.56674123,220,0.7015,221.45,0.5792,229.74001,0.6308707,232.69,0.62087113,233.42175,0,,0,4
Jindezheng,292.28,0.584440228,0.54630715,169,1.7119,153.62,1.075,304.82999,0.52970296,316.06,0.49581632,321.23172,0,,0,4
Jingmen,237.74001,0.54419022,0.57931519,300,1.2463,294.89,1.3256,242.7,0.59501314,242.49001,0.55334145,241.85747,0,,0,4
Jingzhou,455.54001,0.480055021,0.51706308,646,2.3595,647.1,4.5192,466.07001,0.49423078,468.82999,0.4607448,453.55612,0,,0,4
Jinhua,417.63,0.53422619,0.4896093,481,2.6344,456.8,2.4568,423.78,0.66703665,432.60001,0.65962422,439.59058,1,2014,0,3
Jining,725.23999,0.51724699,0.50107455,876,3.234,811.83,3.2258,742.64001,0.59328276,749.53003,0.57805258,774.46735,0,,0,4
Jinzhong,188.98,0.488035052,0.5,332,1.2061,310,0.752,195.07001,0.48228884,201.62,0.41016695,201.89735,0,,0,4
Jinzhou,305.81,0.443906376,0.40534893,302,2.5719,309.2,4.2533,313.60999,0.47694704,304.47,0.38628507,300.58725,0,,0,4
Jiujiang,251.11,0.478846154,0.47019053,520,1.779,472.67,2.7721,260.87,0.51458824,266.32001,0.50035727,262.6528,0,,0,4
Jiuquan,4.6999998,0.449380165,0.37161431,112,0.47,91.16,0.497,4.9699998,0.51133335,5.71,0.44680396,5.7739697,1,2014,0,4
Jixi,84.699997,0.674537332,0.66139466,181,1.3899,190.84,1.4076,84.639999,0.57842106,82.82,0.59663522,80.333763,0,,0,4
Kaifeng,772.70001,0.346166951,0.29691964,559,1.9198,497.93,2.2108,818.03003,0.55094337,858.29999,0.54986715,867.47363,1,2015,0,4
Karamay,33.849998,0.761103634,0.75637758,30,0.1601,32.32,0.342,41.209999,0.72222221,49.02,0.64480364,38.784744,0,,0,4
Kunming,244.78,0.40919826,0.4088974,560,5.35,514.3,3.5499,254.10001,0.6935907,260.23001,0.41466326,266.33691,1,2016,0,3
Laibin,184.64,0.367016206,0.40333918,269,0.694,247.62,0.5401,189.77,0.39787233,190.63,0.34934977,200.58162,0,,0,4
